iter	Passed	Remaining
0	68	68896
1	79	39795
2	90	30022
3	101	25201
4	111	22147
5	121	20108
6	131	18704
7	141	17601
8	151	16660
9	162	16044
10	172	15503
11	182	15025
12	193	14658
13	203	14312
14	212	13981
15	223	13736
16	234	13551
17	246	13459
18	257	13289
19	267	13120
20	278	12962
21	287	12796
22	297	12644
23	308	12545
24	319	12443
25	329	12345
26	339	12239
27	349	12134
28	359	12040
29	369	11962
30	380	11909
31	391	11841
32	401	11761
33	411	11694
34	422	11657
35	435	11664
36	446	11623
37	456	11565
38	467	11510
39	477	11453
40	487	11397
41	497	11351
42	508	11327
43	518	11272
44	528	11222
45	538	11163
46	547	11111
47	557	11060
48	567	11019
49	577	10973
50	587	10925
51	596	10875
52	606	10832
53	618	10830
54	630	10831
55	641	10815
56	651	10771
57	660	10730
58	670	10693
59	680	10655
60	690	10629
61	700	10599
62	710	10564
63	719	10529
64	729	10492
65	739	10458
66	748	10426
67	757	10387
68	767	10359
69	777	10330
70	787	10302
71	797	10278
72	807	10247
73	816	10217
74	826	10193
75	836	10175
76	847	10156
77	856	10129
78	866	10104
79	877	10092
80	887	10066
81	897	10048
82	907	10027
83	917	10005
84	927	9985
85	937	9965
86	947	9943
87	957	9921
88	967	9901
89	977	9880
90	986	9858
91	996	9838
92	1006	9816
93	1015	9792
94	1025	9769
95	1035	9750
96	1045	9737
97	1056	9723
98	1066	9703
99	1076	9689
100	1086	9673
101	1096	9657
102	1106	9638
103	1116	9620
104	1126	9599
105	1135	9578
106	1145	9563
107	1156	9550
108	1168	9549
109	1186	9599
110	1198	9599
111	1209	9592
112	1219	9575
113	1229	9558
114	1240	9543
115	1250	9530
116	1262	9525
117	1277	9547
118	1288	9542
119	1300	9534
120	1310	9521
121	1320	9505
122	1331	9492
123	1342	9481
124	1353	9475
125	1363	9459
126	1373	9441
127	1383	9427
128	1393	9409
129	1402	9389
130	1413	9375
131	1423	9362
132	1433	9342
133	1443	9328
134	1453	9313
135	1464	9300
136	1474	9286
137	1484	9272
138	1494	9260
139	1505	9245
140	1515	9231
141	1525	9219
142	1535	9203
143	1545	9185
144	1555	9170
145	1565	9156
146	1575	9140
147	1585	9125
148	1594	9109
149	1604	9093
150	1614	9079
151	1624	9063
152	1634	9046
153	1644	9032
154	1654	9017
155	1664	9007
156	1674	8990
157	1684	8978
158	1694	8961
159	1704	8946
160	1713	8931
161	1724	8922
162	1735	8912
163	1745	8896
164	1755	8881
165	1764	8867
166	1774	8852
167	1784	8837
168	1794	8821
169	1804	8810
170	1814	8795
171	1824	8780
172	1834	8770
173	1845	8760
174	1856	8751
175	1867	8741
176	1878	8732
177	1888	8721
178	1898	8708
179	1908	8695
180	1918	8678
181	1928	8665
182	1939	8658
183	1949	8647
184	1960	8636
185	1970	8625
186	1981	8614
187	1993	8609
188	2003	8599
189	2014	8588
190	2025	8579
191	2037	8575
192	2048	8564
193	2058	8553
194	2070	8545
195	2080	8534
196	2090	8522
197	2101	8510
198	2111	8501
199	2122	8489
200	2133	8479
201	2142	8462
202	2152	8451
203	2162	8436
204	2173	8428
205	2183	8415
206	2193	8402
207	2203	8389
208	2211	8371
209	2221	8358
210	2234	8355
211	2245	8346
212	2257	8340
213	2267	8330
214	2278	8317
215	2288	8304
216	2298	8292
217	2308	8281
218	2318	8268
219	2330	8261
220	2340	8250
221	2351	8241
222	2362	8232
223	2373	8224
224	2383	8210
225	2393	8197
226	2403	8185
227	2413	8173
228	2424	8161
229	2434	8150
230	2445	8140
231	2455	8129
232	2466	8118
233	2478	8114
234	2490	8107
235	2500	8094
236	2510	8081
237	2519	8068
238	2530	8056
239	2540	8044
240	2550	8031
241	2560	8019
242	2570	8007
243	2578	7990
244	2588	7977
245	2598	7963
246	2608	7951
247	2618	7938
248	2628	7927
249	2638	7915
250	2648	7903
251	2659	7893
252	2670	7883
253	2680	7873
254	2691	7862
255	2702	7852
256	2714	7847
257	2725	7837
258	2735	7827
259	2746	7816
260	2756	7805
261	2765	7790
262	2775	7779
263	2785	7766
264	2796	7756
265	2806	7744
266	2817	7733
267	2827	7723
268	2838	7714
269	2849	7703
270	2859	7693
271	2869	7678
272	2880	7669
273	2891	7660
274	2901	7650
275	2912	7639
276	2923	7630
277	2933	7618
278	2943	7606
279	2953	7594
280	2963	7583
281	2973	7570
282	2983	7559
283	2993	7547
284	3006	7541
285	3015	7529
286	3026	7518
287	3037	7509
288	3049	7502
289	3061	7494
290	3071	7483
291	3082	7472
292	3092	7461
293	3102	7450
294	3116	7447
295	3125	7434
296	3135	7422
297	3145	7409
298	3155	7398
299	3165	7386
300	3176	7375
301	3186	7363
302	3195	7351
303	3205	7339
304	3216	7329
305	3226	7317
306	3236	7306
307	3246	7293
308	3256	7283
309	3267	7272
310	3281	7269
311	3292	7259
312	3303	7250
313	3313	7239
314	3325	7231
315	3335	7220
316	3346	7209
317	3356	7197
318	3365	7184
319	3375	7172
320	3384	7159
321	3394	7148
322	3404	7136
323	3415	7125
324	3424	7112
325	3434	7101
326	3444	7090
327	3455	7079
328	3465	7068
329	3474	7055
330	3485	7044
331	3496	7034
332	3506	7022
333	3516	7011
334	3526	6999
335	3535	6987
336	3546	6976
337	3556	6965
338	3566	6954
339	3577	6944
340	3587	6932
341	3596	6918
342	3606	6907
343	3616	6895
344	3625	6883
345	3636	6872
346	3646	6861
347	3655	6849
348	3666	6838
349	3676	6828
350	3688	6820
351	3700	6812
352	3712	6805
353	3724	6795
354	3736	6789
355	3747	6778
356	3757	6766
357	3767	6756
358	3777	6744
359	3787	6732
360	3796	6720
361	3806	6709
362	3816	6697
363	3825	6684
364	3835	6673
365	3845	6661
366	3855	6649
367	3864	6637
368	3875	6627
369	3886	6617
370	3896	6606
371	3906	6595
372	3916	6583
373	3926	6572
374	3936	6560
375	3946	6548
376	3955	6536
377	3965	6524
378	3975	6514
379	3985	6503
380	3996	6492
381	4006	6481
382	4016	6469
383	4025	6457
384	4035	6445
385	4045	6434
386	4055	6424
387	4065	6413
388	4076	6402
389	4087	6394
390	4098	6382
391	4108	6372
392	4117	6360
393	4127	6348
394	4137	6336
395	4146	6323
396	4156	6313
397	4166	6302
398	4178	6294
399	4188	6282
400	4199	6272
401	4207	6259
402	4217	6248
403	4227	6236
404	4237	6225
405	4247	6214
406	4257	6203
407	4267	6191
408	4277	6180
409	4286	6168
410	4296	6156
411	4308	6148
412	4318	6138
413	4328	6127
414	4338	6115
415	4348	6104
416	4357	6092
417	4367	6081
418	4377	6069
419	4387	6058
420	4397	6047
421	4406	6035
422	4416	6024
423	4426	6013
424	4436	6002
425	4446	5991
426	4456	5980
427	4466	5969
428	4476	5958
429	4486	5947
430	4496	5935
431	4506	5924
432	4516	5914
433	4525	5902
434	4535	5891
435	4545	5880
436	4555	5868
437	4565	5857
438	4575	5846
439	4584	5834
440	4594	5823
441	4603	5811
442	4613	5800
443	4622	5788
444	4632	5777
445	4642	5767
446	4652	5756
447	4662	5745
448	4672	5734
449	4682	5723
450	4693	5712
451	4703	5702
452	4714	5692
453	4724	5681
454	4734	5670
455	4744	5660
456	4754	5648
457	4763	5637
458	4773	5626
459	4783	5615
460	4793	5604
461	4804	5594
462	4813	5583
463	4823	5572
464	4833	5561
465	4844	5550
466	4853	5539
467	4863	5528
468	4873	5517
469	4883	5506
470	4893	5496
471	4903	5485
472	4914	5475
473	4933	5474
474	4943	5463
475	4953	5452
476	4962	5440
477	4973	5431
478	4983	5420
479	4994	5410
480	5004	5399
481	5013	5388
482	5024	5377
483	5037	5370
484	5047	5359
485	5057	5349
486	5067	5338
487	5077	5327
488	5087	5316
489	5097	5305
490	5108	5295
491	5118	5285
492	5129	5275
493	5138	5263
494	5148	5252
495	5158	5241
496	5168	5231
497	5180	5221
498	5189	5210
499	5205	5205
500	5215	5194
501	5225	5184
502	5235	5173
503	5245	5162
504	5255	5151
505	5265	5140
506	5274	5128
507	5284	5117
508	5294	5107
509	5304	5096
510	5314	5086
511	5325	5075
512	5335	5064
513	5344	5053
514	5354	5042
515	5364	5032
516	5374	5021
517	5384	5010
518	5394	4999
519	5403	4988
520	5413	4977
521	5423	4966
522	5432	4954
523	5442	4944
524	5452	4933
525	5462	4922
526	5472	4911
527	5481	4900
528	5491	4889
529	5501	4878
530	5511	4868
531	5522	4857
532	5532	4847
533	5542	4836
534	5552	4825
535	5562	4815
536	5572	4804
537	5581	4793
538	5591	4782
539	5601	4772
540	5611	4760
541	5621	4750
542	5631	4739
543	5641	4728
544	5650	4717
545	5660	4706
546	5669	4695
547	5679	4684
548	5688	4673
549	5698	4662
550	5709	4652
551	5719	4641
552	5729	4631
553	5739	4620
554	5750	4610
555	5759	4599
556	5769	4588
557	5778	4577
558	5788	4566
559	5798	4555
560	5807	4544
561	5817	4533
562	5826	4522
563	5836	4511
564	5845	4500
565	5855	4490
566	5865	4479
567	5874	4467
568	5884	4457
569	5893	4446
570	5902	4434
571	5912	4424
572	5921	4412
573	5931	4402
574	5946	4395
575	5956	4384
576	5965	4373
577	5975	4362
578	5984	4351
579	5994	4340
580	6007	4332
581	6016	4321
582	6026	4310
583	6036	4299
584	6043	4287
585	6053	4276
586	6062	4265
587	6073	4255
588	6082	4244
589	6091	4233
590	6101	4222
591	6110	4211
592	6120	4201
593	6130	4190
594	6141	4180
595	6152	4170
596	6162	4160
597	6174	4150
598	6184	4140
599	6196	4130
600	6206	4120
601	6217	4110
602	6227	4099
603	6237	4089
604	6248	4079
605	6258	4069
606	6269	4059
607	6279	4048
608	6290	4038
609	6301	4028
610	6312	4018
611	6322	4008
612	6332	3997
613	6342	3987
614	6352	3976
615	6363	3966
616	6375	3957
617	6385	3947
618	6396	3936
619	6406	3926
620	6416	3916
621	6426	3905
622	6436	3895
623	6446	3884
624	6457	3874
625	6467	3863
626	6477	3853
627	6487	3843
628	6498	3832
629	6508	3822
630	6517	3811
631	6528	3801
632	6538	3790
633	6549	3780
634	6559	3770
635	6570	3760
636	6580	3750
637	6590	3739
638	6600	3728
639	6610	3718
640	6621	3708
641	6631	3697
642	6641	3687
643	6651	3676
644	6661	3666
645	6671	3656
646	6681	3645
647	6691	3634
648	6701	3624
649	6711	3613
650	6720	3603
651	6730	3592
652	6741	3582
653	6751	3571
654	6761	3561
655	6772	3551
